Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied
ORD00002060,PROD00002060,USER00002060,2023-07-18,2024-08-29,Books,228.33,4,,Not Returned,,49,Female,City73,PayPal,Next-Day,25.68
ORD00002061,PROD00002061,USER00002061,2023-09-06,2024-08-29,Books,205.48,1,,Not Returned,,67,Male,City57,Credit Card,Standard,27.59
ORD00002062,PROD00002062,USER00002062,2023-01-20,2024-08-29,Clothing,34.33,3,,Not Returned,,53,Female,City94,Credit Card,Next-Day,45.1
ORD00002063,PROD00002063,USER00002063,2024-06-19,2024-08-29,Books,250.22,4,,Not Returned,,34,Male,City62,PayPal,Next-Day,11.7
ORD00002064,PROD00002064,USER00002064,2023-06-28,2023-03-29,Electronics,426.64,4,Changed mind,Returned,-91.0,49,Male,City14,Credit Card,Next-Day,1.35
ORD00002065,PROD00002065,USER00002065,2024-02-28,2024-08-29,Toys,65.81,1,,Not Returned,,28,Male,City42,Gift Card,Express,15.11
ORD00002066,PROD00002066,USER00002066,2023-07-09,2024-08-29,Electronics,30.01,2,,Not Returned,,18,Female,City3,Debit Card,Standard,24.11
ORD00002067,PROD00002067,USER00002067,2024-11-25,2023-09-25,Books,38.99,1,Wrong item,Returned,-427.0,37,Male,City56,Gift Card,Standard,2.27
ORD00002068,PROD00002068,USER00002068,2023-06-04,2024-03-22,Clothing,341.44,3,Defective,Returned,351.0,41,Male,City21,PayPal,Next-Day,43.01
ORD00002069,PROD00002069,USER00002069,2024-11-23,2023-06-02,Home,357.0,3,Changed mind,Returned,-656.0,49,Female,City20,PayPal,Next-Day,1.69
ORD00002070,PROD00002070,USER00002070,2024-05-23,2023-05-13,Books,475.03,3,Defective,Returned,-376.0,42,Male,City100,Debit Card,Next-Day,12.99
ORD00002071,PROD00002071,USER00002071,2023-07-27,2023-09-01,Clothing,403.24,5,Wrong item,Returned,-199.0,36,Male,City1,Gift Card,Express,9.63
ORD00002072,PROD00002072,USER00002072,2024-03-09,2024-10-08,Books,299.26,3,Not as described,Returned,-24.0,64,Female,City75,Gift Card,Standard,31.68
ORD00002073,PROD00002073,USER00002073,2023-10-22,2024-08-29,Home,463.64,1,,Not Returned,,31,Female,City50,Debit Card,Express,8.95
ORD00002074,PROD00002074,USER00002074,2023-10-03,2024-08-29,Home,475.0,4,,Not Returned,,52,Male,City41,Credit Card,Express,8.83
ORD00002075,PROD00002075,USER00002075,2023-06-03,2024-08-29,Clothing,462.66,2,,Not Returned,,48,Female,City52,Debit Card,Next-Day,40.9
ORD00002076,PROD00002076,USER00002076,2023-02-20,2024-08-29,Toys,55.13,4,,Not Returned,,55,Male,City45,Credit Card,Express,22.78
ORD00002077,PROD00002077,USER00002077,2023-08-09,2024-06-07,Home,244.76,1,Defective,Returned,302.0,53,Female,City86,Gift Card,Express,47.38
ORD00002078,PROD00002078,USER00002078,2023-02-10,2024-01-08,Toys,470.36,1,Defective,Returned,304.0,34,Male,City67,Gift Card,Next-Day,21.25
ORD00002079,PROD00002079,USER00002079,2023-02-24,2024-08-29,Clothing,417.16,2,,Not Returned,,18,Male,City44,PayPal,Standard,16.49
ORD00002080,PROD00002080,USER00002080,2024-01-12,2024-08-29,Toys,437.81,3,,Not Returned,,42,Female,City88,Debit Card,Standard,0.14
ORD00002081,PROD00002081,USER00002081,2023-01-17,2023-09-21,Books,37.79,4,Wrong item,Returned,247.0,58,Female,City24,Credit Card,Next-Day,27.71
ORD00002082,PROD00002082,USER00002082,2023-06-27,2023-08-22,Toys,120.71,2,Defective,Returned,56.0,42,Female,City13,Credit Card,Next-Day,43.13
ORD00002083,PROD00002083,USER00002083,2023-12-25,2023-12-27,Toys,470.32,4,Not as described,Returned,2.0,54,Male,City22,PayPal,Express,32.69
ORD00002084,PROD00002084,USER00002084,2023-02-14,2023-09-24,Clothing,401.34,2,Wrong item,Returned,222.0,29,Female,City81,Credit Card,Standard,32.23
ORD00002085,PROD00002085,USER00002085,2023-02-04,2024-08-29,Toys,118.73,5,,Not Returned,,67,Male,City50,Debit Card,Standard,26.66
ORD00002086,PROD00002086,USER00002086,2023-10-24,2024-08-29,Electronics,256.54,4,,Not Returned,,39,Female,City98,Gift Card,Next-Day,1.19
ORD00002087,PROD00002087,USER00002087,2024-04-13,2023-06-18,Clothing,110.0,2,Not as described,Returned,-300.0,28,Male,City45,Credit Card,Next-Day,25.83
ORD00002088,PROD00002088,USER00002088,2024-02-19,2024-08-29,Home,100.7,4,,Not Returned,,42,Male,City12,Gift Card,Express,27.51
ORD00002089,PROD00002089,USER00002089,2023-12-26,2023-02-19,Home,293.92,2,Not as described,Returned,-310.0,52,Female,City10,Credit Card,Express,9.56
ORD00002090,PROD00002090,USER00002090,2023-12-02,2023-05-29,Home,248.85,3,Changed mind,Returned,106.0,70,Female,City74,Gift Card,Express,32.38
ORD00002091,PROD00002091,USER00002091,2023-10-12,2024-11-22,Books,311.17,1,Defective,Returned,348.0,35,Female,City50,PayPal,Express,3.56
ORD00002092,PROD00002092,USER00002092,2024-09-06,2024-08-29,Clothing,468.44,3,,Not Returned,,37,Female,City35,PayPal,Next-Day,12.34
ORD00002093,PROD00002093,USER00002093,2024-02-06,2024-08-29,Toys,173.67,2,,Not Returned,,29,Female,City97,Credit Card,Next-Day,2.57
ORD00002094,PROD00002094,USER00002094,2023-01-08,2024-08-29,Home,407.01,1,,Not Returned,,24,Female,City33,PayPal,Next-Day,36.5
ORD00002095,PROD00002095,USER00002095,2024-09-26,2024-09-04,Electronics,271.36,4,Defective,Returned,-170.0,28,Female,City69,PayPal,Next-Day,6.18
ORD00002096,PROD00002096,USER00002096,2024-04-14,2023-12-18,Home,47.16,3,Wrong item,Returned,-118.0,51,Female,City20,PayPal,Express,41.19
ORD00002097,PROD00002097,USER00002097,2023-03-03,2024-05-08,Home,5.27,4,Defective,Returned,521.0,63,Female,City26,Debit Card,Express,22.11
ORD00002098,PROD00002098,USER00002098,2023-11-06,2023-05-13,Electronics,261.16,4,Wrong item,Returned,-29.0,25,Male,City59,Gift Card,Express,16.65
ORD00002099,PROD00002099,USER00002099,2024-08-06,2024-08-29,Books,183.05,2,,Not Returned,,22,Female,City16,PayPal,Express,46.58
ORD00002100,PROD00002100,USER00002100,2023-07-18,2024-08-29,Books,136.87,1,,Not Returned,,68,Female,City29,Credit Card,Express,34.15
ORD00002101,PROD00002101,USER00002101,2023-12-21,2024-08-29,Electronics,211.99,3,,Not Returned,,27,Female,City60,PayPal,Standard,10.58
ORD00002102,PROD00002102,USER00002102,2023-04-26,2024-08-29,Toys,80.05,5,,Not Returned,,41,Female,City75,Gift Card,Next-Day,48.51
ORD00002103,PROD00002103,USER00002103,2023-01-23,2024-01-15,Toys,442.26,4,Defective,Returned,357.0,40,Male,City78,Gift Card,Express,36.77
ORD00002104,PROD00002104,USER00002104,2023-12-22,2023-06-05,Home,177.41,2,Not as described,Returned,-230.0,59,Female,City69,Credit Card,Express,19.0
ORD00002105,PROD00002105,USER00002105,2024-12-18,2024-03-30,Books,70.48,1,Wrong item,Returned,-263.0,56,Male,City63,Gift Card,Next-Day,30.75
ORD00002106,PROD00002106,USER00002106,2024-06-12,2024-08-29,Books,250.17,2,,Not Returned,,20,Female,City8,Credit Card,Express,16.72
ORD00002107,PROD00002107,USER00002107,2024-09-13,2024-08-29,Toys,432.0,2,,Not Returned,,24,Female,City83,Gift Card,Express,37.56
ORD00002108,PROD00002108,USER00002108,2023-01-19,2024-08-29,Books,439.43,5,,Not Returned,,68,Male,City5,Gift Card,Standard,16.87
ORD00002109,PROD00002109,USER00002109,2024-06-12,2024-08-29,Toys,383.16,3,,Not Returned,,40,Male,City76,Credit Card,Standard,31.97
ORD00002110,PROD00002110,USER00002110,2024-02-04,2024-08-29,Clothing,175.09,2,,Not Returned,,61,Female,City86,Gift Card,Standard,4.01
ORD00002111,PROD00002111,USER00002111,2024-01-26,2024-09-05,Electronics,335.96,1,Wrong item,Returned,104.0,56,Male,City87,PayPal,Standard,48.18
ORD00002112,PROD00002112,USER00002112,2024-07-12,2024-08-29,Clothing,294.92,2,,Not Returned,,68,Female,City57,Debit Card,Express,13.39
ORD00002113,PROD00002113,USER00002113,2024-10-18,2024-10-14,Electronics,470.65,1,Not as described,Returned,-4.0,54,Female,City40,PayPal,Standard,24.42
ORD00002114,PROD00002114,USER00002114,2023-04-10,2024-08-29,Books,85.24,4,,Not Returned,,21,Female,City87,Debit Card,Standard,3.89
ORD00002115,PROD00002115,USER00002115,2023-02-13,2023-03-01,Home,114.38,2,Wrong item,Returned,-41.0,24,Female,City51,PayPal,Next-Day,20.75
ORD00002116,PROD00002116,USER00002116,2023-07-05,2024-08-29,Toys,169.64,2,,Not Returned,,60,Female,City77,Debit Card,Next-Day,12.17
ORD00002117,PROD00002117,USER00002117,2023-01-08,2024-08-29,Home,171.56,1,,Not Returned,,51,Female,City90,PayPal,Express,9.54
ORD00002118,PROD00002118,USER00002118,2024-03-19,2023-07-03,Home,54.39,5,Not as described,Returned,-378.0,22,Female,City21,PayPal,Express,31.31
ORD00002119,PROD00002119,USER00002119,2024-05-30,2024-10-04,Clothing,82.97,3,Defective,Returned,-50.0,23,Male,City7,Credit Card,Standard,34.92
ORD00002120,PROD00002120,USER00002120,2023-04-19,2024-08-29,Clothing,245.67,4,,Not Returned,,70,Female,City68,Gift Card,Next-Day,26.52
ORD00002121,PROD00002121,USER00002121,2024-12-28,2024-05-24,Clothing,337.37,2,Not as described,Returned,-218.0,33,Male,City91,Debit Card,Next-Day,22.03
ORD00002122,PROD00002122,USER00002122,2024-09-29,2023-03-24,Home,246.33,5,Changed mind,Returned,-555.0,49,Male,City84,Credit Card,Express,40.8
ORD00002123,PROD00002123,USER00002123,2024-09-21,2024-08-29,Toys,315.47,3,,Not Returned,,18,Male,City80,Gift Card,Next-Day,30.86
ORD00002124,PROD00002124,USER00002124,2024-03-04,2024-01-22,Toys,498.81,5,Not as described,Returned,-72.0,62,Male,City33,PayPal,Standard,22.02
ORD00002125,PROD00002125,USER00002125,2023-01-31,2024-09-21,Electronics,452.05,4,Wrong item,Returned,599.0,36,Female,City75,PayPal,Next-Day,0.21
ORD00002126,PROD00002126,USER00002126,2023-01-31,2024-08-29,Books,256.05,4,,Not Returned,,61,Female,City35,PayPal,Next-Day,19.85
ORD00002127,PROD00002127,USER00002127,2023-04-13,2023-11-28,Toys,418.07,5,Changed mind,Returned,229.0,35,Male,City32,Credit Card,Standard,21.13
ORD00002128,PROD00002128,USER00002128,2023-09-18,2024-08-29,Books,56.72,2,,Not Returned,,21,Female,City56,Debit Card,Standard,36.75
ORD00002129,PROD00002129,USER00002129,2023-03-07,2024-12-11,Books,419.59,5,Defective,Returned,498.0,37,Male,City83,Gift Card,Next-Day,11.33
ORD00002130,PROD00002130,USER00002130,2023-09-07,2024-08-29,Clothing,196.81,3,,Not Returned,,31,Male,City84,Debit Card,Standard,23.91
ORD00002131,PROD00002131,USER00002131,2023-11-13,2024-08-29,Toys,78.92,4,,Not Returned,,44,Male,City50,Gift Card,Express,10.43
ORD00002132,PROD00002132,USER00002132,2024-02-16,2024-08-29,Books,339.85,4,,Not Returned,,43,Female,City62,Debit Card,Express,8.73
ORD00002133,PROD00002133,USER00002133,2023-02-14,2024-08-29,Books,446.49,4,,Not Returned,,18,Male,City91,PayPal,Express,42.25
ORD00002134,PROD00002134,USER00002134,2023-06-07,2023-05-21,Home,57.95,4,Changed mind,Returned,-46.0,45,Male,City10,Gift Card,Next-Day,1.25
ORD00002135,PROD00002135,USER00002135,2023-10-10,2024-04-18,Toys,355.29,5,Not as described,Returned,191.0,58,Female,City89,Credit Card,Express,40.15
ORD00002136,PROD00002136,USER00002136,2023-06-05,2023-05-16,Home,274.6,3,Defective,Returned,10.0,30,Female,City62,PayPal,Next-Day,8.78
ORD00002137,PROD00002137,USER00002137,2024-07-23,2024-10-28,Electronics,497.81,4,Defective,Returned,97.0,20,Female,City72,PayPal,Next-Day,12.05
ORD00002138,PROD00002138,USER00002138,2024-02-10,2024-10-17,Books,480.42,5,Changed mind,Returned,15.0,66,Male,City21,Gift Card,Standard,44.11
ORD00002139,PROD00002139,USER00002139,2024-07-06,2023-12-05,Books,186.63,5,Defective,Returned,-392.0,41,Male,City94,Debit Card,Standard,39.88
ORD00002140,PROD00002140,USER00002140,2023-10-27,2024-08-29,Electronics,130.99,4,,Not Returned,,50,Male,City22,Gift Card,Express,44.35
ORD00002141,PROD00002141,USER00002141,2023-07-23,2024-08-29,Home,373.65,2,,Not Returned,,25,Male,City84,Gift Card,Next-Day,26.6
ORD00002142,PROD00002142,USER00002142,2024-12-02,2024-08-29,Home,480.64,4,,Not Returned,,55,Female,City53,Debit Card,Next-Day,27.55
ORD00002143,PROD00002143,USER00002143,2023-10-01,2024-08-29,Home,21.41,3,,Not Returned,,26,Male,City51,Debit Card,Express,46.74
ORD00002144,PROD00002144,USER00002144,2023-10-20,2024-05-01,Books,274.23,2,Not as described,Returned,77.0,61,Female,City97,PayPal,Next-Day,5.11
ORD00002145,PROD00002145,USER00002145,2023-07-24,2024-10-30,Clothing,61.18,3,Changed mind,Returned,464.0,55,Female,City72,Credit Card,Next-Day,29.17
ORD00002146,PROD00002146,USER00002146,2023-11-11,2024-10-27,Books,90.44,5,Wrong item,Returned,351.0,32,Male,City65,Credit Card,Express,46.17
ORD00002147,PROD00002147,USER00002147,2023-10-28,2024-12-15,Electronics,144.28,5,Not as described,Returned,414.0,37,Female,City61,Gift Card,Standard,45.56
ORD00002148,PROD00002148,USER00002148,2023-06-02,2023-11-11,Clothing,475.33,4,Defective,Returned,278.0,41,Male,City96,Debit Card,Standard,30.83
ORD00002149,PROD00002149,USER00002149,2024-07-29,2024-08-29,Books,62.85,5,,Not Returned,,29,Female,City86,Debit Card,Express,2.65
ORD00002150,PROD00002150,USER00002150,2023-12-26,2023-03-12,Books,148.13,5,Wrong item,Returned,-23.0,65,Male,City12,PayPal,Express,41.28
ORD00002151,PROD00002151,USER00002151,2024-04-16,2024-06-29,Electronics,47.22,3,Defective,Returned,74.0,28,Female,City72,Gift Card,Next-Day,49.33
ORD00002152,PROD00002152,USER00002152,2023-10-30,2024-05-12,Electronics,156.38,4,Changed mind,Returned,402.0,44,Male,City42,Credit Card,Express,25.46
ORD00002153,PROD00002153,USER00002153,2023-05-26,2024-08-29,Books,81.83,5,,Not Returned,,23,Male,City69,Credit Card,Next-Day,15.85
ORD00002154,PROD00002154,USER00002154,2024-01-14,2024-08-29,Clothing,284.99,4,,Not Returned,,37,Female,City49,Gift Card,Standard,19.74
ORD00002155,PROD00002155,USER00002155,2023-09-18,2023-01-31,Toys,100.38,1,Defective,Returned,-230.0,36,Female,City60,PayPal,Standard,47.03
ORD00002156,PROD00002156,USER00002156,2024-06-08,2023-03-16,Home,29.79,2,Not as described,Returned,-509.0,62,Female,City83,Debit Card,Standard,28.86
ORD00002157,PROD00002157,USER00002157,2023-10-10,2023-01-17,Books,43.77,5,Defective,Returned,-266.0,62,Male,City47,Debit Card,Express,7.91
ORD00002158,PROD00002158,USER00002158,2023-02-21,2024-08-29,Home,254.77,5,,Not Returned,,67,Male,City4,PayPal,Next-Day,3.63
ORD00002159,PROD00002159,USER00002159,2023-02-16,2024-11-17,Electronics,492.41,5,Not as described,Returned,640.0,57,Male,City97,Debit Card,Standard,40.24
ORD00002160,PROD00002160,USER00002160,2023-03-06,2024-08-29,Toys,71.73,3,,Not Returned,,48,Male,City44,PayPal,Standard,2.73
ORD00002161,PROD00002161,USER00002161,2023-03-16,2023-01-28,Toys,148.04,1,Changed mind,Returned,-47.0,19,Female,City88,PayPal,Next-Day,27.58
ORD00002162,PROD00002162,USER00002162,2024-12-03,2024-10-02,Books,235.47,3,Defective,Returned,-31.0,23,Female,City16,Credit Card,Express,12.38
ORD00002163,PROD00002163,USER00002163,2024-02-19,2024-08-29,Electronics,30.28,3,,Not Returned,,42,Female,City30,Debit Card,Next-Day,13.66
ORD00002164,PROD00002164,USER00002164,2023-08-21,2024-08-29,Clothing,344.28,1,,Not Returned,,41,Female,City41,PayPal,Next-Day,16.08
ORD00002165,PROD00002165,USER00002165,2024-03-10,2024-08-29,Clothing,203.57,2,,Not Returned,,64,Male,City63,Debit Card,Next-Day,5.58
ORD00002166,PROD00002166,USER00002166,2023-02-01,2024-08-29,Electronics,225.32,4,,Not Returned,,42,Female,City54,PayPal,Next-Day,49.78
ORD00002167,PROD00002167,USER00002167,2023-02-03,2024-08-29,Home,219.11,3,,Not Returned,,27,Male,City22,PayPal,Express,24.02
ORD00002168,PROD00002168,USER00002168,2023-03-23,2023-12-05,Clothing,340.89,1,Changed mind,Returned,50.0,64,Female,City27,Debit Card,Express,9.64
ORD00002169,PROD00002169,USER00002169,2023-12-25,2023-05-21,Clothing,347.32,4,Changed mind,Returned,-218.0,58,Male,City80,PayPal,Standard,42.94
ORD00002170,PROD00002170,USER00002170,2024-03-26,2024-08-29,Books,219.58,4,,Not Returned,,33,Male,City39,Gift Card,Express,4.08
ORD00002171,PROD00002171,USER00002171,2024-01-08,2024-12-29,Toys,241.55,5,Not as described,Returned,150.0,52,Female,City87,PayPal,Express,44.64
ORD00002172,PROD00002172,USER00002172,2023-10-28,2024-08-29,Clothing,110.29,3,,Not Returned,,35,Female,City20,Gift Card,Next-Day,22.13
ORD00002173,PROD00002173,USER00002173,2024-02-14,2024-08-29,Home,159.26,1,,Not Returned,,62,Male,City38,Credit Card,Standard,36.98
ORD00002174,PROD00002174,USER00002174,2024-12-05,2024-08-29,Home,50.09,4,,Not Returned,,20,Male,City92,Debit Card,Next-Day,46.48
ORD00002175,PROD00002175,USER00002175,2023-07-30,2024-01-06,Electronics,279.02,3,Defective,Returned,307.0,58,Male,City61,Credit Card,Next-Day,35.21
ORD00002176,PROD00002176,USER00002176,2023-05-14,2024-08-29,Clothing,363.23,2,,Not Returned,,66,Male,City37,Credit Card,Next-Day,40.12
ORD00002177,PROD00002177,USER00002177,2023-04-13,2024-10-17,Toys,82.18,1,Wrong item,Returned,553.0,60,Male,City95,Debit Card,Express,11.49
ORD00002178,PROD00002178,USER00002178,2024-02-07,2024-08-29,Clothing,390.39,1,,Not Returned,,28,Female,City22,Gift Card,Express,47.94
